Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-ABI,DE HAVILLAND AIRCRAFT CO LTD,DH84 DRAGON,LAND AEROPLANE,12/08/1985,1792,1936,6105,BLACKBURN,GIPSY MAJOR 1,2,AER LINGUS CHARITABLE FOUNDATION,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-ABS,BOEING AIRPLANE COMPANY,B75N1,LAND AEROPLANE,17/10/2019,1338,1941,75-2634,CONTINENTAL MOTORS CORP.,W-670-6N,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AEE,AUSTER AIRCRAFT LTD,AUSTER 5J1,LAND AEROPLANE,22/12/2009,839,1946,1873,BLACKBURN,CIRRUS MINOR IIA,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AEF,CESSNA AIRCRAFT COMPANY,CESSNA 120,LAND AEROPLANE,16/03/2011,658,1947,13692,CONTINENTAL MOTORS CORP.,C85-12F,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-AEH,LUSCOMBE AIRCRAFT LTD,LUSCOMBE 8F,LAND AEROPLANE,07/01/2014,635,1945,1821,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-AEI,AERONCA AIRCRAFT CORPORATION,AERONCA 65-TAC,LAND AEROPLANE,01/05/2013,544,1941,C1661TA,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AEK,TEXTRON AVIATION INC.,CESSNA FR172E,LAND AEROPLANE,26/11/2024,1134,1968,0046,CONTINENTAL MOTORS CORP.,IO-360-D,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AEL,PIPER AIRCRAFT INC,PIPER PA-16,LAND AEROPLANE,07/03/2014,748,1949,16-186,LYCOMING,O-235-C1,1,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-AEN,TEXTRON AVIATION INC.,CESSNA 170,LAND AEROPLANE,18/05/2021,998,1948,18513,CONTINENTAL MOTORS CORP.,O-300-B,1,TAILDRAGGER AVIATION LIMITED,"UNIT 14, ORION BUSINESS CAMPUS, BALLYCOOLIN, DUBLIN 15,"
EI-AEP,TEXTRON AVIATION INC.,CESSNA 170B,LAND AEROPLANE,23/01/2023,998,1955,26989,CONTINENTAL MOTORS CORP.,O-300-A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AER,GULFSTREAM AEROSPACE CORPORATION,GULFSTREAM GVI,LAND AEROPLANE,21/01/2023,46991,2022,6515,,BR700-725A1-12,2,AERCAP IRELAND LIMITED,"AVIATION HOUSE, SHANNON, CO. CLARE,"
EI-AET,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,22/02/2017,545,1946,16108,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-AEU,PIPER AIRCRAFT INC,PIPER PA-22-150,LAND AEROPLANE,22/12/2021,907,1955,22-3217,LYCOMING,O-320-A2B,1,PRIVATE INDIVIDUAL,"MEATH, WESTMEATH,"
EI-AEW,ATELIER INDUSTRIEL DE L'AIR A ALGER,STAMPE SV 4C,LAND AEROPLANE,28/03/2023,771,1950,1130,RENAULT,4PO3,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-AEX,CESSNA AIRCRAFT COMPANY,CESSNA F172H,LAND AEROPLANE,25/01/2024,1043,1967,0320,CONTINENTAL MOTORS CORP.,O-300-D,1,LEESIDE FLYING LIMITED,"35 SOUTH MAIN STREET, BANDON, CORK,"
EI-AEY,PIPER AIRCRAFT INC,PIPER PA-22-160,LAND AEROPLANE,08/11/2023,907,1960,22-7588,LYCOMING,O-320-B2B,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-AFE,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,07/05/1994,553,1946,16687,CONTINENTAL MOTORS CORP.,C90-8F,1,4 OF CUBS FLYING GROUP,"KILDARE,"
EI-AFZ,DE HAVILLAND AIRCRAFT CO LTD,DHC-1 CHIPMUNK 22,LAND AEROPLANE,25/01/2017,998,1952,C1/0659,DE HAVILLAND,GIPSY MAJOR 10 MK2,1,GIPSY CAPTAINS GROUP,"KILDARE,"
EI-AGJ,AUSTER AIRCRAFT LTD,AUSTER 5J1,LAND AEROPLANE,25/05/1970,839,1946,2208,BLACKBURN,CIRRUS MINOR IIA,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AHI,DE HAVILLAND AIRCRAFT CO LTD,DH82A TIGER MOTH,LAND AEROPLANE,17/09/1993,828,1945,85347,BLACKBURN,GIPSY MAJOR 1F,1,HIGH FIDELITY FLYERS,"TIPPERARY,"
EI-AII,CESSNA AIRCRAFT COMPANY,CESSNA 150F,LAND AEROPLANE,27/09/2012,726,1966,15064509.,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"LIMERICK,"
EI-AIR,PIPER AIRCRAFT INC,PIPER PA-18-135,LAND AEROPLANE,05/08/2020,680,1957,18-3630,LYCOMING,O-290-D2,1,THE VINTAGE AIRCRAFT FLYING GROUP,"DUBLIN,"
