code,icao,name,latitude,longitude,elevation,time_zone,city,state,country
YKH,ZYYK,Yingkou Lanqi Airport,40.54587515,122.361111942338,0,Asia/Shanghai,Qingshiling,Liaoning,CN
YNJ,ZYYJ,Yanji Chaoyangchuan Airport,42.8787858,129.448704895164,624,Asia/Shanghai,N/A,N/A,CN
XEN,ZYXC,Xingcheng,40.733334,118.61667,30,Asia/Shanghai,Kuancheng,Hebei,CN
SHE,ZYTX,Shenyang Taoxian International Airport,41.861084,123.426926,144,Asia/Shanghai,Shenyang,Liaoning,CN
TNH,ZYTN,Tonghua Sanyuanpu Airport,41.75,125.95,1200,Asia/Shanghai,Hulutao,Jilin Sheng,CN
DLC,ZYTL,Dalian Zhoushuizi International Airport,38.96412695,121.541427237534,62,Asia/Shanghai,Dalian,Liaoning,CN
YSQ,ZYSQ,Spring Island,59.45,-1.78,459,America/Vancouver,Sandwick,Scotland,CA
NDG,ZYQQ,Qiqihar Airport,47.316666,123.916664,482,Asia/Shanghai,Nanhang,Heilongjiang Sheng,CN
OHE,ZYMH,Mohe Airport,52.9156841,122.425259851876,1804,Asia/Shanghai,Xilinji,Heilongjiang Sheng,CN
MDG,ZYMD,Mudanjiang Airport,44.5245786,129.567140848643,853,Asia/Shanghai,Xinglong,Heilongjiang Sheng,CN
YUS,ZYLS,Yushu Batang Airport,32.8364305,97.0376270480973,12816,Asia/Shanghai,N/A,N/A,CN
LDS,ZYLD,Yichun Shi Airport,47.75241185,129.017187600246,791,Asia/Shanghai,Xuri,Heilongjiang Sheng,CN
JNZ,ZYJZ,Liaoning Province Airport,41.11667,121.01667,0,Asia/Shanghai,Wanghu,Liaoning,CN
JXA,ZYJX,Jixi Airport,45.306084,130.99675,760,Asia/Shanghai,Hongjunlu,Heilongjiang Sheng,CN
JSJ,ZYJS,Jiansanjiang Shidi Airport,47.1066465,132.663228859181,0,Asia/Shanghai,Fujin,Heilongjiang Sheng,CN
JMU,ZYJM,Jiamusi Airport,46.84334085,130.461485387531,249,Asia/Shanghai,Songjiang,Heilongjiang Sheng,CN
JIL,ZYJL,Jilin,43.86667,126.65,859,Asia/Shanghai,Jilin,Jilin Sheng,CN
JGD,ZYJD,Jiagedaqi Airport,50.37175975,124.115838275056,1167,Asia/Shanghai,Jagdaqi,Inner Mongolia,CN
HEK,ZYHE,Heihe Airport,50.216667,127.433334,547,Asia/Shanghai,Xinfu,Heilongjiang Sheng,CN
HRB,ZYHB,Harbin Taiping International Airport,45.62212125,126.245257356161,456,Asia/Shanghai,N/A,N/A,CN
FYJ,ZYFY,Fuyuan Dongji Airport,48.199494,134.366447,167,Asia/Shanghai,Fuyuan,Heilongjiang Sheng,CN
DTU,ZYDU,Wudalianchi Dedu Airport,48.4429184,126.13780921754,941,Asia/Shanghai,Baoquan,Heilongjiang Sheng,CN
DQA,ZYDQ,Daqing Shi Airport,46.58736,125.22841,396,Asia/Shanghai,Wolitun,Heilongjiang Sheng,CN
DDG,ZYDD,Langtou Airport,40.0264417,124.281541101179,29,Asia/Shanghai,N/A,N/A,CN
CHG,ZYCY,Chaoyang Airport,41.539062,120.434146509298,515,Asia/Shanghai,Chaoyang,Liaoning,CN
CNI,ZYCH,Changhai,31.25,121.433334,36,Asia/Shanghai,Changning,Shanghai Shi,CN
CGQ,ZYCC,Changchun Longjia International Airport,43.902836,125.217545,748,Asia/Shanghai,Changchun,Jilin Sheng,CN
NBS,ZYBS,Changbaishan Airport,42.0691726,127.602772145101,2890,Asia/Shanghai,Manjiang,Jilin Sheng,CN
DBC,ZYBA,Baicheng Chang'an,45.5065501,123.020699911489,449,Asia/Harbin,Deshun,Jilin Sheng,CN
AOG,ZYAS,Anshan Teng'ao Airport,41.166668,123.03333,82,Asia/Shanghai,Anshan,Liaoning,CN
YTW,ZWYT,Yutian Wanfang Airport,36.80990525,81.7914926933386,4728,Asia/Urumqi,N/A,Xinjiang,CN
YIN,ZWYN,Yining Airport,43.9564347,81.3286964464003,0,Asia/Shanghai,Dadamtu,Xinjiang Uygur Zizhiqu,CN
URC,ZWWW,Urumqi Diwopu International Airport,43.90381835,87.4680188878741,2125,Asia/Shanghai,N/A,N/A,CN
TLQ,ZWTP,Turpan Jiaohe Airport,43.0283315,89.1006766946583,934,Asia/Shanghai,Laochenglu,Xinjiang Uygur Zizhiqu,CN
HTN,ZWTN,Hotan Airport,37.03216015,79.8628469160749,4655,Asia/Shanghai,Nu'erbage,Xinjiang Uygur Zizhiqu,CN
TCG,ZWTC,Tacheng,46.6714082,83.342449270269,0,Asia/Shanghai,Qaxa,Xinjiang Uygur Zizhiqu,CN
SXJ,ZWSS,Shanshan,42.816666,90.23333,1505,Asia/Shanghai,Shanshan,Xinjiang Uygur Zizhiqu,CN
KHG,ZWSH,Kashi Airport,39.534973,76.01107,4529,Asia/Shanghai,Kashi,Xinjiang Uygur Zizhiqu,CN
QSZ,ZWSC,Shache Airport,38.24391405,77.0578204375604,4281,Asia/Shanghai,Zepu,Xinjiang Uygur Zizhiqu,CN
RQA,ZWRQ,Ruoqiang Loulan Airport,38.97304815,88.0091591493074,2867,Asia/Shanghai,Ruoqiang,Xinjiang Uygur Zizhiqu,CN
NLT,ZWNL,Nalati Airport,43.42950715,83.3726690114942,3070,Asia/Shanghai,Tuergen,Xinjiang Uygur Zizhiqu,CN
KJI,ZWKN,Kanasi Airport,48.22167,86.99611,3921,Asia/Shanghai,Oymak,Xinjiang Uygur Zizhiqu,CN
KRY,ZWKM,Karamay Airport,45.61667,84.88333,0,Asia/Shanghai,N/A,N/A,CN
KRL,ZWKL,Korla Airport,41.689896,86.12434,0,Asia/Shanghai,Sayibage,Xinjiang Uygur Zizhiqu,CN
KCA,ZWKC,Kuqa Airport,41.166668,83.7,3524,Asia/Shanghai,Luntai,Xinjiang Uygur Zizhiqu,CN
SHF,ZWHZ,Shihezi Huayuan Airport,44.24346735,85.8860568409703,1673,Asia/Shanghai,Ulan Us,Xinjiang Uygur Zizhiqu,CN
HMI,ZWHM,Hami Airport,42.916668,93.416664,2664,Asia/Shanghai,Hami,Xinjiang Uygur Zizhiqu,CN
HJB,ZWHJ,Hejing Bayinbuluke Airport,42.9766,83.9729,8240,Asia/Urumqi,N/A,N/A,CN
FYN,ZWFY,Fuyun Koktokay Airport,46.8037006,89.5132995712125,3038,Asia/Shanghai,Kalatongke,Xinjiang Uygur Zizhiqu,CN
IQM,ZWCM,Qiemo Airport,38.14958345,85.532531165306,4137,Asia/Shanghai,N/A,N/A,CN
BPL,ZWBL,Bole Airport,44.904232,82.024185,1745,Asia/Shanghai,Dostyq,Almaty Oblysy,CN
AAT,ZWAT,Altay Airport,47.74833705,88.0894824904233,2408,Asia/Urumqi,Awiytan,Xinjiang Uygur Zizhiqu,CN
ACF,ZWAL,Alaer Talimu Airport,40.464167,81.246944,3323,Asia/Urumqi,Aral,Xinjian Autonomous Region,CN
AKU,ZWAK,Aksu Airport,41.2625,80.291667,3812,Asia/Shanghai,N/A,N/A,CN
ZYI,ZUZY,Zunyi Xinzhou Airport,27.666668,106.833336,2920,Asia/Shanghai,Zunyi,Guizhou Sheng,CN
PZI,ZUZH,Pan Zhi Hua Bao An Ying,26.5395923,101.797351741294,6469,Asia/Shanghai,Renhe,Sichuan,CN
